ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,64240,0,0,0,30,0,2,,,,,,0.175008000,0.000011000,0.000000000,0.000000000,47028
1,0,,,,64,6,64240,0,0,0,31,0,2,,,,,,0.175026000,0.000018000,0.000000000,0.000000000,59010
1,0,,,,127,6,0,1,1,0,12,0,20,0.079653000,,,,,0.254185000,0.079159000,0.079653000,0.079653000,8888
1,0,,,,127,6,0,1,1,0,13,0,20,0.079667000,,,,,0.254226000,0.000041000,0.079667000,0.079667000,1720
1,0,,,,64,6,64240,0,0,0,32,0,2,,,,,,0.254484000,0.000258000,0.000000000,0.000000000,49318
1,0,,,,64,6,64240,0,0,0,33,0,2,,,,,,0.254518000,0.000034000,0.000000000,0.000000000,59134
1,0,,,,64,6,64240,0,0,0,34,0,2,,,,,,0.254539000,0.000021000,0.000000000,0.000000000,49912
1,0,,,,64,6,64240,0,0,0,35,0,2,,,,,,0.254561000,0.000022000,0.000000000,0.000000000,43204
1,0,,,,127,6,0,1,1,0,14,0,20,0.080103000,,,,,0.254682000,0.000121000,0.080103000,0.080103000,993
1,0,,,,127,6,0,1,1,0,16,0,20,0.080033000,,,,,0.254729000,0.000047000,0.080033000,0.080033000,5900
1,0,,,,127,6,0,1,1,0,15,0,20,0.080155000,,,,,0.254755000,0.000026000,0.080155000,0.080155000,1723
1,0,,,,127,6,65535,1,0,0,18,0,18,0.080042000,,,,,0.254778000,0.000023000,0.080042000,0.080042000,135
1,0,,,,64,6,64256,1,1,0,18,0,16,0.000017000,,,,,0.254795000,0.000017000,0.080059000,0.000017000,45572
1,0,,,,64,6,64256,1,1,0,18,0,20,,,,,,0.254813000,0.000018000,0.080077000,0.000018000,45572
1,0,,,,64,6,64240,0,0,0,36,0,2,,,,,,0.254879000,0.000066000,0.000000000,0.000000000,58086
1,0,,,,64,6,64240,0,0,0,37,0,2,,,,,,0.254901000,0.000022000,0.000000000,0.000000000,38214
1,0,,,,64,6,64240,0,0,0,38,0,2,,,,,,0.254920000,0.000019000,0.000000000,0.000000000,53896
1,0,,,,64,6,64240,0,0,0,39,0,2,,,,,,0.254940000,0.000020000,0.000000000,0.000000000,33368
1,0,,,,64,6,64240,0,0,0,40,0,2,,,,,,0.254959000,0.000019000,0.000000000,0.000000000,51578
1,0,,,,64,6,64240,0,0,0,41,0,2,,,,,,0.254981000,0.000022000,0.000000000,0.000000000,41748
1,0,,,,64,6,64240,0,0,0,42,0,2,,,,,,0.255006000,0.000025000,0.000000000,0.000000000,47684
1,0,,,,64,6,64240,0,0,0,43,0,2,,,,,,0.255026000,0.000020000,0.000000000,0.000000000,48280
1,0,,,,127,6,0,1,1,0,21,0,20,0.081131000,,,,,0.255925000,0.000899000,0.081131000,0.081131000,111
1,0,,,,127,6,0,1,1,0,17,0,20,0.081239000,,,,,0.255955000,0.000030000,0.081239000,0.081239000,113
1,0,,,,127,6,0,1,1,0,22,0,20,0.081160000,,,,,0.255975000,0.000020000,0.081160000,0.081160000,256
1,0,,,,127,6,0,1,1,0,20,0,20,0.081220000,,,,,0.255994000,0.000019000,0.081220000,0.081220000,21
1,0,,,,64,6,64240,0,0,0,44,0,2,,,,,,0.256006000,0.000012000,0.000000000,0.000000000,36212
1,0,,,,127,6,0,1,1,0,23,0,20,0.081180000,,,,,0.256013000,0.000007000,0.081180000,0.081180000,587
