ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,64,6,64128,916,491,236,2,0,24,0.000159000,,,,,21.141430000,0.000159000,0.320019000,0.000159000,43190
1,0,,,,127,6,261888,727,916,85,2,0,24,0.087519000,,,,,21.228949000,0.087519000,0.407538000,0.087519000,445
1,0,,,,64,6,64128,1001,727,114,2,0,24,0.000208000,,,,,21.229157000,0.000208000,0.407746000,0.000208000,43190
1,0,,,,127,6,261888,841,1001,84,2,0,24,0.078588000,,,,,21.307745000,0.078588000,0.486334000,0.078588000,445
1,0,,,,64,6,64128,1085,841,136,2,0,24,0.000242000,,,,,21.307987000,0.000242000,0.486576000,0.000242000,43190
1,0,,,,127,6,261632,977,1085,156,2,0,24,0.082211000,,,,,21.390198000,0.082211000,0.568787000,0.082211000,445
1,0,,,,64,6,64128,1241,977,196,2,0,24,0.000373000,,,,,21.390571000,0.000373000,0.569160000,0.000373000,43190
1,0,,,,127,6,261376,1173,1241,184,2,0,24,0.078262000,,,,,21.468833000,0.078262000,0.647422000,0.078262000,445
1,0,,,,64,6,64128,1425,1173,192,2,0,24,0.000404000,,,,,21.469237000,0.000404000,0.647826000,0.000404000,43190
1,0,,,,127,6,262656,1365,1425,164,2,0,24,0.081570000,,,,,21.550807000,0.081570000,0.729396000,0.081570000,445
1,0,,,,64,6,64128,1589,1365,170,2,0,24,0.000257000,,,,,21.551064000,0.000257000,0.729653000,0.000257000,43190
1,0,,,,127,6,262400,1535,1589,216,2,0,24,0.078049000,,,,,21.629113000,0.078049000,0.807702000,0.078049000,445
1,0,,,,64,6,64128,1805,1535,168,2,0,24,0.000320000,,,,,21.629433000,0.000320000,0.808022000,0.000320000,43190
1,0,,,,127,6,262400,1703,1805,164,2,0,24,0.081761000,,,,,21.711194000,0.081761000,0.889783000,0.081761000,445
1,0,,,,64,6,64128,1969,1703,92,2,0,24,0.000254000,,,,,21.711448000,0.000254000,0.890037000,0.000254000,43190
1,0,,,,127,6,262144,1795,1969,128,2,0,24,0.078468000,,,,,21.789916000,0.078468000,0.968505000,0.078468000,445
