ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,45,6,64128,4274,4116,1400,1,0,16,,,,,,1.060363000,0.000150000,0.056015000,0.000150000,60514
1,0,,,,45,6,64128,4274,5731,1400,1,0,16,,,,,,1.060364000,0.000001000,0.056016000,0.000001000,60514
1,0,,,,64,6,63872,5731,5331,0,1,0,16,0.000173000,,,,,1.060374000,0.000010000,0.056026000,0.000010000,34658
1,0,,,,45,6,64128,5331,7131,0,1,0,16,0.011616000,,,,,1.066644000,0.006270000,0.062296000,0.006270000,60514
1,0,,,,45,6,64128,5331,7131,215,1,0,24,,1,1615,,,1.071272000,0.004628000,0.066924000,0.004628000,60514
1,0,,,,64,6,62336,7346,5331,0,1,0,16,0.029535000,,,,,1.100807000,0.029535000,0.096459000,0.029535000,34658
1,0,,,,45,6,64128,5331,7131,215,1,0,24,,,,,,1.103154000,0.002347000,0.098806000,0.002347000,60514
1,0,,,,64,6,62336,7346,5331,0,1,0,16,0.000025000,,,,,1.103179000,0.000025000,0.098831000,0.000025000,34658
0,0,,,,64,17,,,,,,,,,,,,42722,7.821175000,6.717996000,,,
1,0,,,,64,6,64240,0,0,0,2,0,2,,,,,,7.821960000,0.000785000,0.000000000,0.000000000,49834
1,0,,,,64,17,,,,,,,,,,,,53,7.823648000,0.001688000,,,
1,0,,,,57,6,65160,1,0,0,2,0,18,0.008685000,,,,,7.830645000,0.006997000,0.008685000,0.008685000,443
1,0,,,,64,6,64256,1,1,0,2,0,16,0.000071000,,,,,7.830716000,0.000071000,0.008756000,0.000071000,49834
1,0,,,,64,6,64256,1,1,517,2,0,24,,,,,,7.834020000,0.003304000,0.012060000,0.003304000,49834
1,0,,,,57,6,57344,518,1,0,2,0,16,0.008556000,,,,,7.842576000,0.008556000,0.020616000,0.008556000,443
1,0,,,,57,6,65536,518,1,1400,2,0,16,,,,,,7.850203000,0.007627000,0.028243000,0.007627000,443
1,0,,,,64,6,64128,1401,518,0,2,0,16,0.000024000,,,,,7.850227000,0.000024000,0.028267000,0.000024000,49834
1,0,,,,57,6,65536,518,1401,1400,2,0,16,,,,,,7.850811000,0.000584000,0.028851000,0.000584000,443
1,0,,,,64,6,63488,2801,518,0,2,0,16,0.000014000,,,,,7.850825000,0.000014000,0.028865000,0.000014000,49834
1,0,,,,57,6,65536,518,2801,1916,2,0,24,,1,4583,,,7.850993000,0.000168000,0.029033000,0.000168000,443
1,0,,,,64,6,61824,4717,518,0,2,0,16,0.000013000,,,,,7.851006000,0.000013000,0.029046000,0.000013000,49834
