ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,52,6,311,141,815,42,0,0,24,,,,,,6.516600000,0.640984000,6.516600000,0.640984000,443
1,0,,,,64,6,501,857,141,0,0,0,16,0.000042000,,,,,6.516642000,0.000042000,6.516642000,0.000042000,48020
1,0,,,,64,6,501,1,1,101,3,0,24,,,,,,6.781056000,0.264414000,0.000000000,0.000000000,37112
1,0,,,,64,6,501,1,102,39,3,0,24,,,,,,6.789933000,0.008877000,0.008877000,0.008877000,37112
1,0,,,,52,6,272,102,1,0,3,0,16,0.043144000,,,,,6.824200000,0.034267000,0.043144000,0.034267000,443
1,0,,,,52,6,272,141,1,0,3,0,16,0.042096000,,,,,6.832029000,0.007829000,0.050973000,0.007829000,443
1,0,,,,52,6,272,141,1,39,3,0,24,,,,,,6.832756000,0.000727000,0.051700000,0.000727000,443
1,0,,,,64,6,501,40,141,0,3,0,16,0.046789000,,,,,6.879545000,0.046789000,0.098489000,0.046789000,37112
1,0,,,,52,6,311,141,857,50,0,0,24,,,,,,7.199877000,0.320332000,7.199877000,0.683235000,443
1,0,,,,64,6,501,907,141,0,0,0,16,0.000031000,,,,,7.199908000,0.000031000,7.199908000,0.000031000,48020
1,0,,,,52,6,272,141,40,120,3,0,24,,,,,,7.270514000,0.070606000,0.489458000,0.390969000,443
1,0,,,,64,6,501,160,141,0,3,0,16,0.000033000,,,,,7.270547000,0.000033000,0.489491000,0.000033000,37112
1,0,,,,64,6,501,160,141,35,3,0,24,,,,,,7.270882000,0.000335000,0.489826000,0.000335000,37112
1,0,,,,52,6,272,176,160,0,3,0,16,0.083923000,,,,,7.354805000,0.083923000,0.573749000,0.083923000,443
1,0,,,,64,6,501,1,63,68,1,0,24,,,,,,8.070909000,0.716104000,7.551488000,7.533477000,35946
1,0,,,,85,6,297,131,1,0,1,0,16,0.017091000,,,,,8.088000000,0.017091000,7.568579000,0.017091000,443
1,0,,,,52,6,311,141,907,45,0,0,24,,,,,,8.205731000,0.117731000,8.205731000,1.005823000,443
1,0,,,,64,6,501,952,141,0,0,0,16,0.000045000,,,,,8.205776000,0.000045000,8.205776000,0.000045000,48020
1,0,,,,85,6,297,131,1,70,1,0,24,,,,,,8.231258000,0.025482000,7.711837000,0.143258000,443
1,0,,,,64,6,501,71,131,0,1,0,16,0.041196000,,,,,8.272454000,0.041196000,7.753033000,0.041196000,35946
1,0,,,,52,6,311,141,952,47,0,0,24,,,,,,8.720619000,0.448165000,8.720619000,0.514843000,443
1,0,,,,64,6,501,999,141,0,0,0,16,0.000053000,,,,,8.720672000,0.000053000,8.720672000,0.000053000,48020
1,0,,,,52,6,311,141,999,47,0,0,24,,,,,,9.110224000,0.389552000,9.110224000,0.389552000,443
1,0,,,,64,6,501,1046,141,0,0,0,16,0.000039000,,,,,9.110263000,0.000039000,9.110263000,0.000039000,48020
1,0,,,,64,17,,,,,,,,,,,,50237,9.371631000,0.261368000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.405508000,0.033877000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.405989000,0.000481000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.406219000,0.000230000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.406653000,0.000434000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.408640000,0.001987000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.419555000,0.010915000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.428049000,0.008494000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.428132000,0.000083000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.441900000,0.013768000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443039000,0.001139000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443039000,0.000000000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443041000,0.000002000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443042000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443043000,0.000001000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443162000,0.000119000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.443279000,0.000117000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443336000,0.000057000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.443342000,0.000006000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443338000,-0.000004000,,,
1,0,,,,57,17,,,,,,,,,,,,443,9.443339000,0.000001000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.443393000,0.000054000,,,
1,0,,,,64,17,,,,,,,,,,,,50237,9.443438000,0.000045000,,,
