ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1,0,,,,57,6,65536,832,5270,557,2,0,24,,,,,,8.036635000,0.037443000,0.214675000,0.149165000,443,normal
1,0,,,,64,6,64128,5827,832,64,2,0,24,0.000606000,,,,,8.037241000,0.000606000,0.215281000,0.000606000,49834,normal
1,0,,,,45,6,64128,5314,7346,0,0,0,16,0.056458000,,,,,8.055650000,0.018409000,8.051973000,0.056458000,60514,normal
1,0,,,,57,6,65536,896,5827,0,2,0,16,0.047598000,,,,,8.084839000,0.029189000,0.262879000,0.047598000,443,normal
1,0,,,,57,6,65536,896,5827,814,2,0,24,,,,,,8.116197000,0.031358000,0.294237000,0.031358000,443,normal
1,0,,,,57,6,65536,896,6641,31,2,0,24,,,,,,8.116198000,0.000001000,0.294238000,0.000001000,443,normal
1,0,,,,64,6,64128,6672,896,0,2,0,16,0.000317000,,,,,8.116515000,0.000317000,0.294555000,0.000317000,49834,normal
1,0,,,,64,6,64128,6672,896,88,2,0,24,,,,,,8.117030000,0.000515000,0.295070000,0.000515000,49834,normal
1,0,,,,57,6,57344,984,6672,0,2,0,16,0.007261000,,,,,8.124291000,0.007261000,0.302331000,0.007261000,443,normal
1,0,,,,57,6,65536,984,6672,304,2,0,24,,,,,,8.179326000,0.055035000,0.357366000,0.055035000,443,normal
1,0,,,,64,6,64128,6976,984,65,2,0,24,0.000679000,,,,,8.180005000,0.000679000,0.358045000,0.000679000,49834,normal
1,0,,,,57,6,57344,1049,6976,0,2,0,16,0.007360000,,,,,8.187365000,0.007360000,0.365405000,0.007360000,443,normal
1,0,,,,57,6,65536,1049,6976,809,2,0,24,,,,,,8.246995000,0.059630000,0.425035000,0.059630000,443,normal
1,0,,,,57,6,65536,1049,7785,31,2,0,24,,,,,,8.246996000,0.000001000,0.425036000,0.000001000,443,normal
1,0,,,,64,6,64128,7816,1049,0,2,0,16,0.000357000,,,,,8.247353000,0.000357000,0.425393000,0.000357000,49834,normal
1,0,,,,64,6,64128,7816,1049,93,2,0,24,,,,,,8.247817000,0.000464000,0.425857000,0.000464000,49834,normal
1,0,,,,57,6,65536,1142,7816,0,2,0,16,0.007348000,,,,,8.255165000,0.007348000,0.433205000,0.007348000,443,normal
1,0,,,,57,6,65536,1142,7816,326,2,0,24,,,,,,8.318424000,0.063259000,0.496464000,0.063259000,443,normal
1,0,,,,64,6,64128,8142,1142,71,2,0,24,0.000692000,,,,,8.319116000,0.000692000,0.497156000,0.000692000,49834,normal
1,0,,,,57,6,65536,1213,8142,0,2,0,16,0.007241000,,,,,8.326357000,0.007241000,0.504397000,0.007241000,443,normal
1,0,,,,57,6,65536,1213,8142,811,2,0,24,,,,,,8.379453000,0.053096000,0.557493000,0.053096000,443,normal
1,0,,,,57,6,65536,1213,8953,31,2,0,24,,,,,,8.379454000,0.000001000,0.557494000,0.000001000,443,normal
1,0,,,,64,6,64128,8984,1213,0,2,0,16,0.000322000,,,,,8.379776000,0.000322000,0.557816000,0.000322000,49834,normal
1,0,,,,64,6,64128,8984,1213,92,2,0,24,,,,,,8.380226000,0.000450000,0.558266000,0.000450000,49834,normal
1,0,,,,57,6,65536,1305,8984,0,2,0,16,0.007322000,,,,,8.387548000,0.007322000,0.565588000,0.007322000,443,normal
1,0,,,,57,6,65536,1305,8984,306,2,0,24,,,,,,8.448480000,0.060932000,0.626520000,0.060932000,443,normal
1,0,,,,64,6,64128,9290,1305,70,2,0,24,0.000651000,,,,,8.449131000,0.000651000,0.627171000,0.000651000,49834,normal
1,0,,,,57,6,65536,1375,9290,0,2,0,16,0.007294000,,,,,8.456425000,0.007294000,0.634465000,0.007294000,443,normal
1,0,,,,57,6,65536,1375,9290,811,2,0,24,,,,,,8.513745000,0.057320000,0.691785000,0.057320000,443,normal
1,0,,,,57,6,65536,1375,10101,31,2,0,24,,,,,,8.513746000,0.000001000,0.691786000,0.000001000,443,normal
1,0,,,,64,6,64128,10132,1375,0,2,0,16,0.000279000,,,,,8.514025000,0.000279000,0.692065000,0.000279000,49834,normal
0,0,,,,64,17,,,,,,,,,,,,60609,8.515022000,0.000997000,,,,normal
0,0,,,,64,17,,,,,,,,,,,,44989,8.515067000,0.000045000,,,,normal
1,0,,,,64,6,64240,0,0,0,3,0,2,,,,,,8.515534000,0.000467000,0.000000000,0.000000000,48218,normal
1,0,,,,64,17,,,,,,,,,,,,53,8.518690000,0.003156000,,,,normal
1,0,,,,64,17,,,,,,,,,,,,53,8.519413000,0.000723000,,,,normal
1,0,,,,56,6,65535,1,0,0,3,0,18,0.020487000,,,,,8.536021000,0.016608000,0.020487000,0.020487000,443,normal
1,0,,,,64,6,64256,1,1,0,3,0,16,0.000076000,,,,,8.536097000,0.000076000,0.020563000,0.000076000,48218,normal
1,0,,,,64,6,64256,1,1,517,3,0,24,,,,,,8.537255000,0.001158000,0.021721000,0.001158000,48218,normal
1,0,,,,56,6,145920,518,1,0,3,0,16,0.020442000,,,,,8.557697000,0.020442000,0.042163000,0.020442000,443,normal
1,0,,,,56,6,145920,518,1,2800,3,0,24,,,,,,8.560910000,0.003213000,0.045376000,0.003213000,443,normal
1,0,,,,56,6,145920,518,2801,989,3,0,24,,1,3072,,,8.560911000,0.000001000,0.045377000,0.000001000,443,normal
1,0,,,,64,6,63488,2801,518,0,3,0,16,0.000057000,,,,,8.560967000,0.000056000,0.045433000,0.000056000,48218,normal
1,0,,,,64,6,62720,3790,518,0,3,0,16,0.000080000,,,,,8.560991000,0.000024000,0.045457000,0.000024000,48218,normal
1,0,,,,64,6,62720,3790,518,64,3,0,24,,,,,,8.564700000,0.003709000,0.049166000,0.003709000,48218,normal
1,0,,,,64,6,62720,3790,582,86,3,0,24,,,,,,8.564860000,0.000160000,0.049326000,0.000160000,48218,normal
1,0,,,,64,6,64128,3790,668,125,3,0,24,,,,,,8.570259000,0.005399000,0.054725000,0.005399000,48218,normal
1,0,,,,56,6,145920,582,3790,0,3,0,16,0.020306000,,,,,8.585006000,0.014747000,0.069472000,0.014747000,443,normal
1,0,,,,56,6,145920,668,3790,0,3,0,16,0.020147000,,,,,8.585007000,0.000001000,0.069473000,0.000001000,443,normal
1,0,,,,56,6,145920,668,3790,59,3,0,24,,,,,,8.585212000,0.000205000,0.069678000,0.000205000,443,normal
1,0,,,,64,6,64128,3849,793,31,3,0,24,0.000208000,,,,,8.585420000,0.000208000,0.069886000,0.000208000,48218,normal
1,0,,,,56,6,145920,793,3849,0,3,0,16,0.020704000,,,,,8.590963000,0.005543000,0.075429000,0.005543000,443,normal
1,0,,,,56,6,145920,793,3849,264,3,0,24,,,,,,8.594300000,0.003337000,0.078766000,0.003337000,443,normal
0,0,,,,64,17,,,,,,,,,,,,44290,8.595289000,0.000989000,,,,normal
0,0,,,,64,17,,,,,,,,,,,,37627,8.595343000,0.000054000,,,,normal
1,0,,,,64,6,64240,0,0,0,4,0,2,,,,,,8.595993000,0.000650000,0.000000000,0.000000000,48230,normal
1,0,,,,64,17,,,,,,,,,,,,53,8.598748000,0.002755000,,,,normal
1,0,,,,64,17,,,,,,,,,,,,53,8.599584000,0.000836000,,,,normal
1,0,,,,56,6,145920,824,4113,0,3,0,16,0.020358000,,,,,8.605778000,0.006194000,0.090244000,0.011478000,443,normal
1,0,,,,56,6,65535,1,0,0,4,0,18,0.025745000,,,,,8.621738000,0.015960000,0.025745000,0.025745000,443,normal
