ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,63,6,28032,371,1,0,5,0,16,0.077295000,,,,,0.467940000,0.000025000,0.157235000,0.077295000,80
1,0,,,,63,6,28032,318,1,481,4,0,24,,,,,,0.467971000,0.000031000,0.157332000,0.001082000,80
1,0,,,,64,6,64128,482,318,0,4,0,16,0.000024000,,,,,0.467995000,0.000024000,0.157356000,0.000024000,51206
1,0,,,,63,6,28032,373,1,481,3,0,24,,,,,,0.468020000,0.000025000,0.157533000,0.000152000,80
1,0,,,,64,6,64128,482,373,0,3,0,16,0.000008000,,,,,0.468028000,0.000008000,0.157541000,0.000008000,51200
1,0,,,,63,6,28032,347,1,481,6,0,24,,,,,,0.468048000,0.000020000,0.156890000,0.000133000,80
1,0,,,,64,6,64128,482,347,0,6,0,16,0.000008000,,,,,0.468056000,0.000008000,0.156898000,0.000008000,51228
1,0,,,,63,6,28032,371,1,481,5,0,24,,,,,,0.468078000,0.000022000,0.157373000,0.000138000,80
1,0,,,,64,6,64128,482,371,0,5,0,16,0.000007000,,,,,0.468085000,0.000007000,0.157380000,0.000007000,51216
1,0,,,,64,6,64128,482,318,0,4,0,17,,,,,,0.468230000,0.000145000,0.157591000,0.000235000,51206
1,0,,,,64,6,64128,482,373,0,3,0,17,,,,,,0.468239000,0.000009000,0.157752000,0.000211000,51200
1,0,,,,64,6,64128,482,347,0,6,0,17,,,,,,0.468389000,0.000150000,0.157231000,0.000333000,51228
1,0,,,,64,6,64128,482,371,0,5,0,17,,,,,,0.468457000,0.000068000,0.157752000,0.000372000,51216
1,0,,,,64,6,64240,0,0,0,7,0,2,,,,,,0.468474000,0.000017000,0.000000000,0.000000000,51234
1,0,,,,64,6,64240,0,0,0,8,0,2,,,,,,0.468480000,0.000006000,0.000000000,0.000000000,51236
1,0,,,,64,6,64240,0,0,0,9,0,2,,,,,,0.468570000,0.000090000,0.000000000,0.000000000,51248
1,0,,,,64,6,64240,0,0,0,10,0,2,,,,,,0.468583000,0.000013000,0.000000000,0.000000000,51250
1,0,,,,64,6,64240,0,0,0,11,0,2,,,,,,0.468656000,0.000073000,0.000000000,0.000000000,51252
1,0,,,,64,6,64240,0,0,0,12,0,2,,,,,,0.468725000,0.000069000,0.000000000,0.000000000,51262
1,0,,,,64,6,64240,0,0,0,13,0,2,,,,,,0.468792000,0.000067000,0.000000000,0.000000000,51272
1,0,,,,64,6,64240,0,0,0,14,0,2,,,,,,0.468883000,0.000091000,0.000000000,0.000000000,51286
1,0,,,,63,6,28032,319,482,0,4,0,17,0.075782000,,,,,0.544012000,0.075129000,0.233373000,0.075782000,80
1,0,,,,64,6,64128,483,319,0,4,0,16,0.000038000,,,,,0.544050000,0.000038000,0.233411000,0.000038000,51206
1,0,,,,63,6,28032,374,482,0,3,0,17,0.075865000,,,,,0.544104000,0.000054000,0.233617000,0.075865000,80
1,0,,,,64,6,64128,483,374,0,3,0,16,0.000010000,,,,,0.544114000,0.000010000,0.233627000,0.000010000,51200
1,0,,,,63,6,28032,348,482,0,6,0,17,0.075751000,,,,,0.544140000,0.000026000,0.232982000,0.075751000,80
1,0,,,,64,6,64128,483,348,0,6,0,16,0.000008000,,,,,0.544148000,0.000008000,0.232990000,0.000008000,51228
1,0,,,,63,6,26847,1,0,0,7,0,18,0.076007000,,,,,0.544481000,0.000333000,0.076007000,0.076007000,80
1,0,,,,64,6,64256,1,1,0,7,0,16,0.000024000,,,,,0.544505000,0.000024000,0.076031000,0.000024000,51234
1,0,,,,63,6,28032,372,482,0,5,0,17,0.076075000,,,,,0.544532000,0.000027000,0.233827000,0.076075000,80
1,0,,,,64,6,64128,483,372,0,5,0,16,0.000011000,,,,,0.544543000,0.000011000,0.233838000,0.000011000,51216
1,0,,,,63,6,26847,1,0,0,8,0,18,0.076098000,,,,,0.544578000,0.000035000,0.076098000,0.076098000,80
1,0,,,,64,6,64256,1,1,0,8,0,16,0.000013000,,,,,0.544591000,0.000013000,0.076111000,0.000013000,51236
1,0,,,,63,6,26847,1,0,0,9,0,18,0.076040000,,,,,0.544610000,0.000019000,0.076040000,0.076040000,80
1,0,,,,64,6,64256,1,1,0,9,0,16,0.000010000,,,,,0.544620000,0.000010000,0.076050000,0.000010000,51248
1,0,,,,63,6,26847,1,0,0,11,0,18,0.075983000,,,,,0.544639000,0.000019000,0.075983000,0.075983000,80
1,0,,,,64,6,64256,1,1,0,11,0,16,0.000011000,,,,,0.544650000,0.000011000,0.075994000,0.000011000,51252
1,0,,,,63,6,26847,1,0,0,10,0,18,0.076088000,,,,,0.544671000,0.000021000,0.076088000,0.076088000,80
1,0,,,,64,6,64256,1,1,0,10,0,16,0.000015000,,,,,0.544686000,0.000015000,0.076103000,0.000015000,51250
1,0,,,,63,6,26847,1,0,0,12,0,18,0.075987000,,,,,0.544712000,0.000026000,0.075987000,0.075987000,80
1,0,,,,64,6,64256,1,1,0,12,0,16,0.000010000,,,,,0.544722000,0.000010000,0.075997000,0.000010000,51262
