ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port,label
1,0,,,,64,17,,,,,,,,,,,,46183,0.003939000,0.000004000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,58276,0.003944000,0.000005000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37521,0.004006000,0.000062000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,60752,0.004012000,0.000006000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,55085,0.004036000,0.000024000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45643,0.004048000,0.000012000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,38392,0.004060000,0.000012000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,36617,0.004068000,0.000008000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,51819,0.004072000,0.000004000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,46327,0.004086000,0.000014000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59449,0.004115000,0.000029000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,52735,0.004582000,0.000467000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53738,0.004650000,0.000068000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49298,0.004676000,0.000026000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53174,0.004685000,0.000009000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,38262,0.004691000,0.000006000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,40980,0.004718000,0.000027000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,36107,0.004771000,0.000053000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56326,0.004782000,0.000011000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37496,0.004786000,0.000004000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37197,0.004797000,0.000011000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48436,0.004802000,0.000005000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45317,0.004812000,0.000010000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53258,0.004828000,0.000016000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,46887,0.005349000,0.000521000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37902,0.005481000,0.000132000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,36793,0.005591000,0.000110000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42475,0.005611000,0.000020000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,34648,0.005625000,0.000014000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59468,0.005630000,0.000005000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,52806,0.005635000,0.000005000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48841,0.005992000,0.000357000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,46449,0.006114000,0.000122000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37139,0.006189000,0.000075000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56489,0.006208000,0.000019000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,38181,0.006250000,0.000042000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53424,0.006278000,0.000028000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37367,0.006315000,0.000037000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,43928,0.006356000,0.000041000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.092661000,0.086305000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.092688000,0.000027000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.092732000,0.000044000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45219,0.092925000,0.000193000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,35086,0.092970000,0.000045000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.093043000,0.000073000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.093115000,0.000072000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.093156000,0.000041000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42167,0.093208000,0.000052000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,46919,0.093247000,0.000039000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,52647,0.093263000,0.000016000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,34328,0.093460000,0.000197000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.093763000,0.000303000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.093802000,0.000039000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,58058,0.093883000,0.000081000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,38993,0.094071000,0.000188000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.094250000,0.000179000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.094277000,0.000027000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56723,0.094570000,0.000293000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,36671,0.094578000,0.000008000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.111383000,0.016805000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.111422000,0.000039000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.111445000,0.000023000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.111497000,0.000052000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,58875,0.111822000,0.000325000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49128,0.111894000,0.000072000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56168,0.111981000,0.000087000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.112010000,0.000029000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53216,0.112028000,0.000018000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.112061000,0.000033000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.112092000,0.000031000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.112125000,0.000033000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,33948,0.112293000,0.000168000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,33082,0.112384000,0.000091000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.112451000,0.000067000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45353,0.112524000,0.000073000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42771,0.112533000,0.000009000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.112581000,0.000048000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,33496,0.112798000,0.000217000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,57508,0.112943000,0.000145000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.113273000,0.000330000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.113300000,0.000027000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.113319000,0.000019000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49888,0.113389000,0.000070000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59304,0.113577000,0.000188000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50470,0.113601000,0.000024000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.114452000,0.000851000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.114479000,0.000027000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.114497000,0.000018000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.114515000,0.000018000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.114531000,0.000016000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,60460,0.114602000,0.000071000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59353,0.114694000,0.000092000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37640,0.114699000,0.000005000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,35966,0.114838000,0.000139000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,44910,0.114846000,0.000008000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.131361000,0.016515000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.131408000,0.000047000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.131437000,0.000029000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.131464000,0.000027000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,52704,0.131792000,0.000328000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.131825000,0.000033000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.131864000,0.000039000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42763,0.132076000,0.000212000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,54805,0.132089000,0.000013000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,44876,0.132093000,0.000004000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,54016,0.132169000,0.000076000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49805,0.132195000,0.000026000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.132270000,0.000075000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.132291000,0.000021000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.132304000,0.000013000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,36040,0.132589000,0.000285000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48266,0.132601000,0.000012000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48392,0.132766000,0.000165000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.132990000,0.000224000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.133031000,0.000041000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.133054000,0.000023000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,52501,0.133132000,0.000078000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49281,0.133208000,0.000076000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59799,0.133304000,0.000096000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.134284000,0.000980000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.134313000,0.000029000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.134336000,0.000023000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.134355000,0.000019000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.134374000,0.000019000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49551,0.134404000,0.000030000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56454,0.134476000,0.000072000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,47170,0.134490000,0.000014000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50387,0.134512000,0.000022000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49694,0.134585000,0.000073000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.151989000,0.017404000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152031000,0.000042000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152056000,0.000025000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152080000,0.000024000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152106000,0.000026000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152134000,0.000028000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152467000,0.000333000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37294,0.152496000,0.000029000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152502000,0.000006000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42407,0.152549000,0.000047000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59267,0.152616000,0.000067000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,39079,0.152662000,0.000046000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,39228,0.152674000,0.000012000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,58076,0.152717000,0.000043000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.152735000,0.000018000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48616,0.152829000,0.000094000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53416,0.152905000,0.000076000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,58130,0.153036000,0.000131000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.153720000,0.000684000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.153737000,0.000017000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.153750000,0.000013000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.153763000,0.000013000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,33383,0.153846000,0.000083000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,43823,0.153907000,0.000061000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,56257,0.153926000,0.000019000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,60321,0.154041000,0.000115000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.154894000,0.000853000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.154922000,0.000028000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.154947000,0.000025000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,51757,0.155159000,0.000212000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48572,0.155193000,0.000034000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45537,0.155333000,0.000140000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.170926000,0.015593000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.170972000,0.000046000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,52262,0.171445000,0.000473000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,37660,0.171473000,0.000028000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.171482000,0.000009000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.171532000,0.000050000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.171737000,0.000205000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.171772000,0.000035000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,39739,0.171868000,0.000096000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,49513,0.172028000,0.000160000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42531,0.172038000,0.000010000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45229,0.172132000,0.000094000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.172214000,0.000082000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,42623,0.172348000,0.000134000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173075000,0.000727000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173092000,0.000017000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173105000,0.000013000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173119000,0.000014000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59279,0.173193000,0.000074000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173223000,0.000030000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,33038,0.173257000,0.000034000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173549000,0.000292000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,41296,0.173617000,0.000068000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,53832,0.173635000,0.000018000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173720000,0.000085000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.173769000,0.000049000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,45831,0.173816000,0.000047000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,36138,0.173840000,0.000024000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,40471,0.174296000,0.000456000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,48996,0.174305000,0.000009000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.174525000,0.000220000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.174540000,0.000015000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,52347,0.174664000,0.000124000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,50240,0.174725000,0.000061000,,,,kerberos-userenum
0,0,,,,127,17,,,,,,,,,,,,88,0.191114000,0.016389000,,,,kerberos-userenum
1,0,,,,64,17,,,,,,,,,,,,59911,0.191512000,0.000398000,,,,kerberos-userenum
